,title,price,size,url
0,Wmns Air Jordan 4 Retro Off White Sail,95,9,https://www.grailed.com/listings/23736125-jordan-brand-mens-9-womens-10-5-nike-air-jordan-1-high-sail-rebel-white?g_aidx=Listing_by_low_price_production&g_aqid=d6d1650b2e847109722a6441e3a48794
1,Off-White Air Jordan Retro 5 SP ‘Sail’ Size 9,310,9,https://www.grailed.com/listings/64180575-jordan-brand-x-off-white-x-streetwear-off-white-air-jordan-retro-5-sp-sail-size-9?g_aidx=Listing_by_low_price_production&g_aqid=d6d1650b2e847109722a6441e3a48794
2,Jordan 5 Retro Off-White Sail,400,9.5,https://www.grailed.com/listings/64077370-jordan-brand-x-nike-x-off-white-jordan-5-retro-off-white-sail?g_aidx=Listing_by_low_price_production&g_aqid=d6d1650b2e847109722a6441e3a48794
3,Jordan retro 5 off white sail,400,11,https://www.grailed.com/listings/63581795-jordan-brand-jordan-retro-5-off-white-sail?g_aidx=Listing_by_low_price_production&g_aqid=d6d1650b2e847109722a6441e3a48794
4,Jordan x off white retro 5 SP Sail White,425,8.5,https://www.grailed.com/listings/62193672-jordan-brand-x-off-white-jordan-x-off-white-retro-5-sp-sail-white?g_aidx=Listing_by_low_price_production&g_aqid=d6d1650b2e847109722a6441e3a48794
5,Jordan 1 Retro High Og Sail,440,8.5,https://www.grailed.com/listings/57420112-jordan-brand-x-nike-jordan-1-retro-high-og-sail?g_aidx=Listing_by_low_price_production&g_aqid=d6d1650b2e847109722a6441e3a48794
6,5 Retro Off-White Sail,512,11.5,https://www.grailed.com/listings/64723281-jordan-brand-5-retro-off-white-sail?g_aidx=Listing_by_low_price_production&g_aqid=d6d1650b2e847109722a6441e3a48794
7,Air Jordan x Off-White 5 Retro SP Sail,540,8,https://www.grailed.com/listings/62343461-jordan-brand-x-off-white-air-jordan-x-off-white-5-retro-sp-sail?g_aidx=Listing_by_low_price_production&g_aqid=d6d1650b2e847109722a6441e3a48794
8,Wmns air jordan 4 retro SP,585,7,https://www.grailed.com/listings/58549127-jordan-brand-x-off-white-wmns-air-jordan-4-retro-sp?g_aidx=Listing_by_low_price_production&g_aqid=d6d1650b2e847109722a6441e3a48794
9,Off-White x Wmns Jordan 4 Retro SP ‘Sail’,600,6.5,https://www.grailed.com/listings/62920005-jordan-brand-x-off-white-off-white-x-wmns-jordan-4-retro-sp-sail?g_aidx=Listing_by_low_price_production&g_aqid=d6d1650b2e847109722a6441e3a48794
10,Air Jordan 5 Retro Off-White Sail | Sz 13 Brand NEW,600,13,https://www.grailed.com/listings/60964762-jordan-brand-x-off-white-air-jordan-5-retro-off-white-sail-sz-13-brand-new?g_aidx=Listing_by_low_price_production&g_aqid=d6d1650b2e847109722a6441e3a48794
11,Off-White x Air Jordan 4 Retro SP Sail (W),648,8.5,https://www.grailed.com/listings/63983433-jordan-brand-off-white-x-air-jordan-4-retro-sp-sail-w?g_aidx=Listing_by_low_price_production&g_aqid=d6d1650b2e847109722a6441e3a48794
12,Jordan 5 Retro Off-White Sail Fire Red,700,13,https://www.grailed.com/listings/64405380-nike-x-off-white-jordan-5-retro-off-white-sail-fire-red?g_aidx=Listing_by_low_price_production&g_aqid=d6d1650b2e847109722a6441e3a48794
13,NIKE JORDAN 5 RETRO OFF-WHITE SAIL,746,8.5,https://www.grailed.com/listings/60414315-nike-nike-jordan-5-retro-off-white-sail?g_aidx=Listing_by_low_price_production&g_aqid=d6d1650b2e847109722a6441e3a48794
14,Wmns Air Jordan 4 Retro Off White Sail,750,8.5,https://www.grailed.com/listings/64581643-jordan-brand-wmns-air-jordan-4-retro-off-white-sail?g_aidx=Listing_by_low_price_production&g_aqid=d6d1650b2e847109722a6441e3a48794
15,Off-White Air Jordan 4 Retro SP Sail size 8.5m 10w,800,8.5,https://www.grailed.com/listings/62068716-jordan-brand-x-nike-x-off-white-off-white-air-jordan-4-retro-sp-sail-size-8-5m-10w?g_aidx=Listing_by_low_price_production&g_aqid=d6d1650b2e847109722a6441e3a48794
16,Air Jordan 4 x Off-White size 9.5US,810,9.5,https://www.grailed.com/listings/63517676-jordan-brand-x-off-white-air-jordan-4-x-off-white-size-9-5us?g_aidx=Listing_by_low_price_production&g_aqid=d6d1650b2e847109722a6441e3a48794
17,Off White Jordan 4 Retro Sail Size 9.5 Mens,850,9.5,https://www.grailed.com/listings/63615847-jordan-brand-x-nike-x-off-white-off-white-jordan-4-retro-sail-size-9-5-mens?g_aidx=Listing_by_low_price_production&g_aqid=d6d1650b2e847109722a6441e3a48794
18,Jordan 4 Retro Off-White Sail (8.5 mens) (10 Womens),945,8.5,https://www.grailed.com/listings/55400358-jordan-brand-x-off-white-x-virgil-abloh-jordan-4-retro-off-white-sail-8-5-mens-10-womens?g_aidx=Listing_by_low_price_production&g_aqid=d6d1650b2e847109722a6441e3a48794
19,Air Jordan 5 Retro “Sail” Off-White,950,12,https://www.grailed.com/listings/45637191-jordan-brand-x-off-white-air-jordan-5-retro-sail-off-white?g_aidx=Listing_by_low_price_production&g_aqid=d6d1650b2e847109722a6441e3a48794
20,Jordan 4 Retro Off-White Sail,1000,7.5,https://www.grailed.com/listings/60716904-off-white-jordan-4-retro-off-white-sail?g_aidx=Listing_by_low_price_production&g_aqid=d6d1650b2e847109722a6441e3a48794
21,Air Jordan 4 Retro Off-White Sail,1000,5,https://www.grailed.com/listings/30699231-jordan-brand-x-off-white-air-jordan-4-retro-off-white-sail?g_aidx=Listing_by_low_price_production&g_aqid=d6d1650b2e847109722a6441e3a48794
22,Off White Wmns Air Jordan 4 Retro SP Sail,1012,9.5,https://www.grailed.com/listings/62846647-jordan-brand-x-off-white-off-white-wmns-air-jordan-4-retro-sp-sail?g_aidx=Listing_by_low_price_production&g_aqid=d6d1650b2e847109722a6441e3a48794
23,Off-White x Wmns Air Jordan 4 Retro SP Sail,1095,9.5,https://www.grailed.com/listings/64169927-jordan-brand-off-white-x-wmns-air-jordan-4-retro-sp-sail?g_aidx=Listing_by_low_price_production&g_aqid=d6d1650b2e847109722a6441e3a48794
24,Jordan 4 Retro Off-White Sail (Women's),1100,5,https://www.grailed.com/listings/48919900-jordan-brand-x-off-white-jordan-4-retro-off-white-sail-women-s?g_aidx=Listing_by_low_price_production&g_aqid=d6d1650b2e847109722a6441e3a48794
25,Off White x Nike Air Jordan Retro 1 High OG NRG UNC,1100,13,https://www.grailed.com/listings/64971779-nike-off-white-x-nike-air-jordan-retro-1-high-og-nrg-unc?g_aidx=Listing_by_low_price_production&g_aqid=d6d1650b2e847109722a6441e3a48794
26,Jordan 4 Retro Off-White Sail (Women's),1125,9,https://www.grailed.com/listings/64918698-jordan-brand-x-off-white-jordan-4-retro-off-white-sail-women-s?g_aidx=Listing_by_low_price_production&g_aqid=d6d1650b2e847109722a6441e3a48794
27,Off-White x Wmns Air Jordan 4 Retro SP Sail,1128,7.5,https://www.grailed.com/listings/64190732-jordan-brand-off-white-x-wmns-air-jordan-4-retro-sp-sail?g_aidx=Listing_by_low_price_production&g_aqid=d6d1650b2e847109722a6441e3a48794
28,Off White x Nike Air Jordan Retro 1 High OG NRG UNC,1150,14,https://www.grailed.com/listings/64971617-nike-off-white-x-nike-air-jordan-retro-1-high-og-nrg-unc?g_aidx=Listing_by_low_price_production&g_aqid=d6d1650b2e847109722a6441e3a48794
29,Off-White Air Jordan 4 Sail 11.5W / 10M,1200,10,https://www.grailed.com/listings/54990571-nike-x-off-white-off-white-air-jordan-4-sail-11-5w-10m?g_aidx=Listing_by_low_price_production&g_aqid=d6d1650b2e847109722a6441e3a48794
30,JORDAN 4 RETRO X OFF-WHITE SAIL (W)(USED),1315,12,https://www.grailed.com/listings/57614210-jordan-brand-x-off-white-jordan-4-retro-x-off-white-sail-w-used?g_aidx=Listing_by_low_price_production&g_aqid=d6d1650b2e847109722a6441e3a48794
